row_index,token_count,sum_score,mean_score
441,2047,-37.98388671875,-0.018555880175256473
442,2047,-61.737060546875,-0.030159775548058133
443,2047,-69.72607421875,-0.03406256678981436
444,2047,-33.7119140625,-0.016468937011480216
445,2047,-27.68603515625,-0.013525175943453835
446,2047,-29.283203125,-0.014305424096238398
447,2047,65.138671875,0.03182152998290181
448,2047,-57.7421875,-0.028208201025891548
449,2047,-60.1083984375,-0.02936414188446507
450,2047,-98.34765625,-0.04804477589154861
451,2047,-70.82958984375,-0.034601656005740104
452,2047,-77.14599609375,-0.03768734542928676
453,2047,-108.5478515625,-0.05302777311309233
454,2047,-74.3544921875,-0.036323640541035665
455,2047,-85.294921875,-0.04166825690034196
456,2047,-62.54150390625,-0.03055276204506595
457,2047,-76.642578125,-0.037441415791402054
458,2047,-29.76806640625,-0.014542289402173914
459,2047,-66.181640625,-0.032331040852467026
460,2047,-79.966796875,-0.039065362420615535
461,2047,-82.02880859375,-0.040072695942232534
462,2047,-69.963134765625,-0.03417837555721788
463,2047,-29.60107421875,-0.014460710414631168
464,2047,-58.1474609375,-0.028406185118466046
465,2047,-32.720947265625,-0.01598483012487787
466,2047,-49.05859375,-0.023966093673668785
467,2047,-88.15576171875,-0.043065833765876894
468,2047,-50.0087890625,-0.02443028288348803
469,2047,-59.951171875,-0.029287333597948217
470,2047,-75.2314453125,-0.03675204949316072
471,2047,-58.65576171875,-0.0286545001068637
472,2047,-74.9775390625,-0.03662801126648754
473,2047,-75.17529296875,-0.03672461796226185
474,2047,-37.847412109375,-0.01848920962841964
475,2047,-74.3525390625,-0.03632268640083049
476,2047,-51.347900390625,-0.02508446526166341
477,2047,-84.033203125,-0.041051882327796774
478,2047,-78.36181640625,-0.03828129770701026
479,2047,-63.6572265625,-0.03109781463727406
480,2047,-104.839599609375,-0.051216218666035665
481,2047,-56.6279296875,-0.027663864038837322
482,2047,-62.9267578125,-0.030740966200537373
483,2047,-58.2294921875,-0.028446259007083537
484,2047,-59.56640625,-0.02909936797752809
485,2047,-130.021484375,-0.06351806759892525
486,2047,-57.05859375,-0.02787425195407914
487,2047,-82.08544921875,-0.04010036600818271
488,2047,-130.7001953125,-0.06384963132022473
489,2047,-47.02099609375,-0.02297068690461651
490,2047,-78.115234375,-0.0381608375061065
491,2047,11.935546875,0.005830750793844651
492,2047,-63.02734375,-0.030790104421104053
493,2047,-92.884765625,-0.04537604573766488
494,2047,-73.595947265625,-0.03595307633884954
495,2047,-24.73388671875,-0.01208299302332682
496,2047,-68.37744140625,-0.03340373297813874
497,2047,-93.533203125,-0.04569282028578407
498,2047,-75.640625,-0.03695194186614558
499,2047,-74.169921875,-0.03623347429164631
500,2047,-81.59521484375,-0.039860876816682954
501,2047,-36.3857421875,-0.01777515495236932
502,2047,-48.9434814453125,-0.023909859035326088
503,2047,-86.895263671875,-0.04245005553095994
504,2047,-48.087890625,-0.023491885991695164
505,2047,-51.414794921875,-0.02511714456369077
506,2047,-45.50439453125,-0.022229797035295554
507,2047,-90.4169921875,-0.04417048958842208
508,2047,-86.6748046875,-0.04234235695530044
509,2047,-44.649658203125,-0.021812241428004395
510,2047,-20.76513671875,-0.010144180126404494
511,2047,-42.302734375,-0.02066572270395701
512,2047,-86.3251953125,-0.04217156585857352
513,2047,-63.06640625,-0.03080918722520762
514,2047,-63.1083984375,-0.030829701239618954
515,2047,-40.1240234375,-0.019601379305080605
516,2047,-1.701904296875,-0.0008314139212872496
517,2047,-63.566162109375,-0.03105332785020762
518,2047,-67.565185546875,-0.03300692992031021
519,2047,-51.560546875,-0.0251883472765022
520,2047,-38.5263671875,-0.018820892617244747
521,2047,-44.701171875,-0.021837406875915975
522,2047,-78.384765625,-0.038292508854421106
523,2047,-84.41015625,-0.04123603138739619
524,2047,87.45947265625,0.042725682782730826
525,2047,-92.080078125,-0.044982939973131415
526,2047,-85.83203125,-0.041930645456765996
527,2047,-79.2802734375,-0.03872998213849536
528,2047,-22.21923828125,-0.010854537509159747
