#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:04:25       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:04:26       0  35305      4      0    100     79      0      0      0      0 
 20260814    13:04:26       1  35303      4      0    100     79      0      0      0      0 
 20260814    13:04:27       0  35305      4      0     24     29      0      0      0      0 
 20260814    13:04:27       1  35303      4      0     84     95      0      0      0      0 
 20260814    13:04:28       0  35305      4      0    100     70      0      0      0      0 
 20260814    13:04:28       1  35303      4      0    100     74      0      0      0      0 
 20260814    13:04:29       0  35305      4      0    100     78      0      0      0      0 
 20260814    13:04:29       1  35303      4      0    100     77      0      0      0      0 
 20260814    13:04:30       0  35305      4      0    100     77      0      0      0      0 
 20260814    13:04:30       1  35303      4      0    100     77      0      0      0      0 
 20260814    13:04:31       0  35305      4      0    100     60      0      0      0      0 
 20260814    13:04:31       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:04:32       0  35305      4      0    100     74      0      0      0      0 
 20260814    13:04:32       1  35303      4      0    100     74      0      0      0      0 
 20260814    13:04:33       0  35305      4      0    100     74      0      0      0      0 
 20260814    13:04:33       1  35303      4      0    100     76      0      0      0      0 
 20260814    13:04:34       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:04:34       1  35303      4      0    100     82      0      0      0      0 
 20260814    13:04:35       0  35305      4      0     61     73      0      0      0      0 
 20260814    13:04:35       1  35303      4      0    100     75      0      0      0      0 
 20260814    13:04:36       0  35305      4      0    100     58      0      0      0      0 
 20260814    13:04:36       1  35303      4      0    100     66      0      0      0      0 
 20260814    13:04:37       0  35305      4      0    100     74      0      0      0      0 
 20260814    13:04:37       1  35303      4      0    100     72      0      0      0      0 
 20260814    13:04:38       0  35305      4      0    100     71      0      0      0      0 
 20260814    13:04:38       1  35303      4      0    100     71      0      0      0      0 
 20260814    13:04:39       0  35305      4      0      8      8      0      0      0      0 
 20260814    13:04:39       1  35303      4      0      0      0      0      0      0      0 
 20260814    13:04:40       0  35305      4      0    100     17      0      0      0      0 
 20260814    13:04:40       1  35303      4      0    100     21      0      0      0      0 
